,country,n_mention,pos,neg
0,Sweden,3.0,0.13466666666666668,0.028999999999999998
1,Nepal,1.0,0.187,0.0
2,Slovenia,3.0,0.0,0.048666666666666664
3,Zimbabwe,1.0,0.192,0.137
4,"Bolivia, Plurinational State of",4.0,0.1845,0.0
5,Brazil,41.0,0.084,0.04104878048780488
6,"Palestine, State of",21.0,0.11866666666666667,0.08252380952380953
7,India,153.0,0.08198692810457514,0.04859477124183008
8,Lebanon,6.0,0.054,0.0655
9,Haiti,299.0,0.0948260869565217,0.05187959866220735
10,Pakistan,274.0,0.09429197080291968,0.07418613138686132
11,Uruguay,7.0,0.006,0.0
12,Bosnia and Herzegovina,2.0,0.0765,0.0
13,Sri Lanka,3.0,0.09499999999999999,0.11266666666666668
14,Uganda,4.0,0.063,0.10575000000000001
15,Ireland,102.0,0.13718627450980392,0.05600980392156864
16,Turkey,31.0,0.08432258064516131,0.04938709677419356
17,Qatar,29.0,0.08910344827586206,0.03920689655172414
18,Latvia,4.0,0.23424999999999999,0.034499999999999996
19,Yemen,8.0,0.035500000000000004,0.09887500000000002
20,Rwanda,3.0,0.05566666666666667,0.078
21,Poland,21.0,0.06785714285714287,0.0781904761904762
22,Jersey,5.0,0.037,0.0526
23,Isle of Man,12.0,0.011999999999999999,0.043250000000000004
24,Egypt,65.0,0.06838461538461538,0.05975384615384616
25,Australia,13.0,0.11607692307692306,0.02
26,Germany,58.0,0.07539655172413796,0.07984482758620688
27,Liberia,9.0,0.14211111111111113,0.033666666666666664
28,Myanmar,2.0,0.0495,0.041
29,"Tanzania, United Republic of",3.0,0.13433333333333333,0.0
30,Mexico,45.0,0.10395555555555558,0.07764444444444443
31,Netherlands,5.0,0.1334,0.11200000000000002
32,Oman,1.0,0.0,0.0
33,Austria,10.0,0.020200000000000003,0.0821
34,Zambia,3.0,0.061,0.0
35,Angola,10.0,0.0381,0.0341
36,Argentina,13.0,0.08746153846153847,0.02453846153846154
37,"Korea, Democratic People's Republic of",104.0,0.06094230769230771,0.08452884615384613
38,Malta,1.0,0.0,0.0
39,Afghanistan,362.0,0.08437016574585637,0.07751657458563535
40,Luxembourg,2.0,0.073,0.0315
41,Switzerland,4.0,0.08625,0.00675
42,Kyrgyzstan,6.0,0.19999999999999998,0.050166666666666665
43,Indonesia,51.0,0.1382156862745099,0.014705882352941176
44,Honduras,42.0,0.056880952380952386,0.051095238095238096
45,Cyprus,1.0,0.206,0.019
46,Romania,8.0,0.11825,0.007875
47,Montserrat,1.0,0.0,0.0
48,"Moldova, Republic of",10.0,0.10350000000000001,0.0126
49,"Taiwan, Province of China",4.0,0.03125,0.0025
50,China,344.0,0.08636046511627912,0.058633720930232565
51,France,39.0,0.05651282051282052,0.055769230769230765
52,Estonia,2.0,0.333,0.0
53,Georgia,4.0,0.08825,0.0
54,Italy,14.0,0.07935714285714286,0.009785714285714286
55,Ukraine,10.0,0.017,0.041400000000000006
56,Malaysia,2.0,0.0,0.0
57,Guyana,25.0,0.07400000000000001,0.03796
58,Bermuda,2.0,0.026,0.0525
59,Nigeria,4.0,0.12675,0.00775
60,Palau,75.0,0.1414666666666667,0.03741333333333335
61,South Sudan,1.0,0.2,0.0
62,Colombia,25.0,0.14395999999999998,0.049319999999999996
63,Portugal,16.0,0.0836875,0.0474375
64,Singapore,29.0,0.06703448275862069,0.05972413793103447
65,Libya,188.0,0.08727659574468087,0.09472872340425534
66,United Kingdom,40.0,0.077125,0.040100000000000004
67,Ethiopia,1.0,0.0,0.0
68,Kuwait,5.0,0.0194,0.0368
69,"Iran, Islamic Republic of",418.0,0.06676555023923447,0.06288038277511966
70,Chad,3.0,0.0,0.059
71,Greenland,1.0,0.038,0.0
72,Lithuania,12.0,0.09716666666666667,0.0135
73,Bahrain,1.0,0.098,0.0
74,"Congo, The Democratic Republic of the",20.0,0.06945,0.10939999999999998
75,Panama,2.0,0.035,0.0
76,Peru,6.0,0.034,0.05416666666666667
77,Cambodia,1.0,0.0,0.0
78,Sudan,39.0,0.13512820512820517,0.06028205128205128
79,Cuba,19.0,0.09426315789473685,0.020210526315789474
80,"Venezuela, Bolivarian Republic of",5.0,0.078,0.0206
81,Norway,20.0,0.09045,0.09179999999999999
82,Cameroon,4.0,0.16925,0.00525
83,Paraguay,2.0,0.0,0.0
84,Albania,1.0,0.0,0.0
85,Senegal,3.0,0.10033333333333333,0.10566666666666667
86,Algeria,3.0,0.10633333333333334,0.09300000000000001
87,Maldives,1.0,0.044,0.0
88,Seychelles,6.0,0.14566666666666667,0.04416666666666667
89,Holy See (Vatican City State),3.0,0.062,0.0
90,Iceland,10.0,0.0403,0.0128
91,Ghana,2.0,0.0,0.0
92,Russian Federation,64.0,0.09142187499999999,0.041749999999999995
93,Finland,3.0,0.0,0.0
94,Guam,1.0,0.0,0.0
95,Mozambique,2.0,0.049,0.0245
96,Jordan,23.0,0.04608695652173913,0.03226086956521739
97,Armenia,2.0,0.063,0.1175
98,Somalia,2.0,0.0,0.0
99,Congo,19.0,0.07310526315789474,0.11515789473684208
100,"Korea, Republic of",104.0,0.06094230769230771,0.08452884615384613
101,Morocco,29.0,0.18310344827586209,0.04524137931034483
102,Azerbaijan,13.0,0.03776923076923077,0.031384615384615386
103,Kenya,24.0,0.074625,0.06179166666666667
104,"Macedonia, Republic of",4.0,0.066,0.13825
105,Thailand,1.0,0.0,0.0
106,Guinea,1.0,0.235,0.0
107,Israel,884.0,0.0995610859728507,0.07772511312217195
108,Falkland Islands (Malvinas),18.0,0.022000000000000002,0.053277777777777785
109,Bangladesh,4.0,0.09525,0.0
110,Saudi Arabia,3.0,0.142,0.09166666666666667
111,Tunisia,22.0,0.14086363636363639,0.04381818181818182
112,Denmark,28.0,0.0854642857142857,0.08532142857142858
113,Jamaica,2.0,0.0,0.0
114,Guatemala,1.0,0.106,0.0
115,Iraq,211.0,0.07384834123222749,0.09374881516587678
116,Philippines,4.0,0.11975,0.0
117,Kazakhstan,4.0,0.13275,0.0
118,Greece,20.0,0.0578,0.0728
119,Uzbekistan,3.0,0.03833333333333334,0.0
120,Spain,12.0,0.14841666666666667,0.050833333333333335
121,Malawi,3.0,0.13033333333333333,0.0
122,Chile,7.0,0.028,0.14285714285714285
123,Czechia,2.0,0.158,0.0
124,South Africa,3.0,0.08966666666666667,0.0
125,Belgium,20.0,0.03765,0.020450000000000003
126,Bahamas,2.0,0.1885,0.037
127,Canada,10.0,0.1371,0.05789999999999999
128,Syrian Arab Republic,30.0,0.06573333333333335,0.05033333333333333
129,Japan,38.0,0.08126315789473686,0.030605263157894736
130,Ecuador,9.0,0.1637777777777778,0.08322222222222223
